home_win_pct,home_obp,home_home_runs,home_ops,home_era,home_whip,home_strikeouts,away_win_pct,away_obp,away_home_runs,away_ops,away_era,away_whip,away_strikeouts,is_home,game_winner
0.6363636363636364,.349,16,.782,4.36,1.42,75,0.7777777777777778,.344,7,.754,2.28,1.09,82,1,1
0.25,.272,12,.685,4.89,1.59,54,0.5555555555555556,.353,11,.798,5.01,1.19,93,1,1
0.75,.357,9,.793,2.75,1.07,90,0.9,.313,21,.780,1.90,1.14,106,1,0
0.2222222222222222,.291,6,.586,5.22,1.53,72,0.75,.382,25,1.012,4.50,1.25,79,1,0
0.375,.293,5,.629,3.68,1.34,64,0.4444444444444444,.337,11,.776,4.73,1.37,76,1,0
0.7777777777777778,.267,11,.613,2.93,1.06,84,0.5,.322,5,.701,2.96,0.96,77,1,1
0.625,.276,8,.639,2.03,1.17,76,0.5555555555555556,.339,5,.731,4.41,1.18,77,1,1
0.4444444444444444,.300,7,.641,6.41,1.39,73,0.3333333333333333,.273,11,.631,2.85,0.99,70,1,0
0.1111111111111111,.280,6,.577,4.36,1.30,72,0.5555555555555556,.308,7,.670,3.81,1.29,75,1,0
0.125,.282,5,.613,4.17,1.59,48,0.4444444444444444,.306,14,.714,4.89,1.56,84,1,0
0.875,.313,11,.745,2.71,1.21,66,0.3333333333333333,.312,10,.645,4.52,1.43,73,1,1
0.625,.306,10,.699,4.81,1.41,64,0.375,.309,12,.730,5.16,1.59,55,1,1
0.5,.335,9,.750,4.37,1.26,56,0.5714285714285714,.381,13,.887,4.85,1.12,49,1,1
0.3333333333333333,.291,12,.704,4.78,1.56,65,0.5,.350,12,.800,5.07,1.24,100,1,1
0.6,.360,11,.805,4.34,1.36,74,0.4444444444444444,.383,14,.868,5.90,1.38,67,1,1
0.6,.360,11,.805,4.34,1.36,74,0.4444444444444444,.383,14,.868,5.90,1.38,67,1,1
0.7777777777777778,.365,10,.792,3.22,1.09,100,0.8181818181818182,.312,23,.783,2.48,1.22,113,1,1
0.3,.290,6,.586,4.98,1.46,85,0.6666666666666666,.365,25,.950,4.37,1.24,91,1,1
0.6666666666666666,.282,8,.638,1.91,1.15,84,0.5,.337,5,.709,4.21,1.19,86,1,1
0.5555555555555556,.357,11,.809,4.25,1.09,72,0.2222222222222222,.273,9,.617,4.02,1.29,69,1,1
0.4444444444444444,.301,5,.650,3.28,1.25,76,0.4,.322,11,.732,4.40,1.40,83,1,1
0.3333333333333333,.266,6,.581,4.96,1.40,78,0.4444444444444444,.294,6,.603,3.78,1.11,99,1,0
0.5,.303,9,.659,5.97,1.34,84,0.3,.269,12,.621,3.41,1.02,75,1,1
0.5833333333333334,.350,17,.776,4.58,1.50,85,0.8,.358,8,.767,2.76,1.14,90,1,0
0.8,.266,12,.610,2.93,1.06,90,0.4444444444444444,.315,5,.680,2.97,0.97,87,1,1
0.2222222222222222,.303,6,.667,4.27,1.56,61,0.4,.307,16,.717,5.66,1.61,95,1,1
0.8888888888888888,.309,12,.730,2.85,1.24,72,0.3,.320,12,.674,4.58,1.41,82,1,1
0.6666666666666666,.306,13,.720,4.50,1.34,74,0.3333333333333333,.300,13,.700,5.09,1.55,60,1,1
0.1111111111111111,.280,6,.577,4.36,1.30,72,0.5555555555555556,.308,7,.670,3.81,1.29,75,1,1
0.6,.352,12,.790,3.92,1.09,80,0.6,.357,25,.913,4.48,1.24,101,1,1
0.36363636363636365,.294,7,.609,4.89,1.45,96,0.4,.376,16,.856,6.18,1.39,74,1,1
0.4,.296,13,.712,4.70,1.53,76,0.75,.313,24,.781,2.63,1.25,114,1,1
0.5454545454545454,.352,11,.781,4.50,1.42,79,0.5454545454545454,.345,5,.717,3.91,1.17,90,1,0
0.7,.292,8,.648,1.72,1.15,92,0.5,.307,7,.657,3.68,1.33,80,1,1
0.6153846153846154,.354,17,.779,4.23,1.43,94,0.7272727272727273,.257,12,.580,3.34,1.10,97,1,1
0.5,.307,6,.667,3.15,1.23,81,0.3,.267,6,.581,4.92,1.42,86,1,1
0.45454545454545453,.337,12,.768,5.06,1.25,106,0.45454545454545453,.321,12,.727,4.07,1.32,86,1,0
